BODY NAME,BODY,SERVICE AREA CATEGORISATION,EXPENSE TYPE,EXPENSE CODE,INVOICE DATE,TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Professional Fees-(Excl.Employees),876,21/3/2018,76614,1107.5,Eden Brown Ltd,14045
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Corporate Repairs & Maintenance (General Expenses),Responsive Repairs,477,2/3/2018,77130,620,R Morgan Electrical Services Ltd,21096
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Corporate Repairs & Maintenance (Special Expenses),Planned Maintenance,478,2/3/2018,77329,903.16,R Morgan Electrical Services Ltd,21096
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Contract Work,430,6/3/2018,18468,585,Gutterskype,10182
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Fixed Assets,Works - Contractors,900,6/3/2018,76326,2500,G Purchase Construction Limited,10142
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Void Repairs,430,6/3/2018,18540,1025.73,G Purchase Construction Limited,10142
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Environmental Health,Wages-Agency Staff,5,7/3/2018,18418,1008,Buckingham Futures Ltd (Sonovate),21050
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,8/3/2018,18537,2048.81,E.ON,10414
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Land Charges,Professional Fees-(Excl.Employees),580,1/3/2018,18422,686,Leicestershire County  Council,10493
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Land Charges,Professional Fees-(Excl.Employees),580,19/3/2018,18578,574,Leicestershire County  Council,10493
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Fixed Assets,Works - Contractors,900,9/3/2018,18579,3850,Leicestershire County  Council,10493
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Homelessness,Lease Costs,410,1/3/2018,76686,530,Homewood Residential Lettings Ltd,15771
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Current Assets,Recharges to Other Accounts,925,1/3/2018,77319,509.6,Sodexo Motivation Solutions UK Ltd,10634
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Information Technology,Hinckley & Bosworth Borough Council,815,1/3/2018,76027,23693,Hinckley & Bosworth B C,10211
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Cattle Market Trading Account,MM Town Estate Agreement Fee,300,5/3/2018,75459,1500,Melton Mowbray Town Estate,10568
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Parkside,Electricity,470,1/3/2018,18428,4972.65,EDF Energy 1 Limited,10416
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Local Plans,Housing Market Area,345,12/3/2018,77456/7/9,409.5,North West Leics DC,10610
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Local Plans,Housing Market Area,345,12/3/2018,77456/7/9,816,North West Leics DC,10610
